_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
308,201801,S92000003,S08000019,Type 3,25-39,"",Male,"",5,"",20
309,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",1,"",35
310,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",2,"",47
311,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",3,"",39
312,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",4,"",53
313,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",5,"",44
314,201801,S92000003,S08000019,Type 3,40-64,"",Female,"",,:,2
315,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",1,"",36
316,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",2,"",35
317,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",3,"",36
318,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",4,"",42
319,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",5,"",28
320,201801,S92000003,S08000019,Type 3,40-64,"",Male,"",,:,1
321,201801,S92000003,S08000019,Type 3,65-74,"",Female,"",1,"",7
322,201801,S92000003,S08000019,Type 3,65-74,"",Female,"",2,"",11
323,201801,S92000003,S08000019,Type 3,65-74,"",Female,"",3,"",11
324,201801,S92000003,S08000019,Type 3,65-74,"",Female,"",4,"",4
325,201801,S92000003,S08000019,Type 3,65-74,"",Female,"",5,"",17
326,201801,S92000003,S08000019,Type 3,65-74,"",Male,"",1,"",8
327,201801,S92000003,S08000019,Type 3,65-74,"",Male,"",2,"",7
328,201801,S92000003,S08000019,Type 3,65-74,"",Male,"",3,"",13
329,201801,S92000003,S08000019,Type 3,65-74,"",Male,"",4,"",10
330,201801,S92000003,S08000019,Type 3,65-74,"",Male,"",5,"",14
331,201801,S92000003,S08000019,Type 3,75 plus,"",Female,"",1,"",3
332,201801,S92000003,S08000019,Type 3,75 plus,"",Female,"",2,"",6
333,201801,S92000003,S08000019,Type 3,75 plus,"",Female,"",3,"",8
334,201801,S92000003,S08000019,Type 3,75 plus,"",Female,"",4,"",9
335,201801,S92000003,S08000019,Type 3,75 plus,"",Female,"",5,"",13
336,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",1,"",6
337,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",2,"",4
338,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",3,"",5
339,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",4,"",9
340,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",5,"",8
341,201801,S92000003,S08000019,Type 3,75 plus,"",Male,"",,:,1
342,201801,S92000003,S08000019,Type 3,Under 18,"",Female,"",1,"",34
343,201801,S92000003,S08000019,Type 3,Under 18,"",Female,"",2,"",25
344,201801,S92000003,S08000019,Type 3,Under 18,"",Female,"",3,"",13
345,201801,S92000003,S08000019,Type 3,Under 18,"",Female,"",4,"",21
346,201801,S92000003,S08000019,Type 3,Under 18,"",Female,"",5,"",33
347,201801,S92000003,S08000019,Type 3,Under 18,"",Male,"",1,"",32
348,201801,S92000003,S08000019,Type 3,Under 18,"",Male,"",2,"",34
349,201801,S92000003,S08000019,Type 3,Under 18,"",Male,"",3,"",23
350,201801,S92000003,S08000019,Type 3,Under 18,"",Male,"",4,"",36
351,201801,S92000003,S08000019,Type 3,Under 18,"",Male,"",5,"",38
352,201801,S92000003,S08000019,Type 3,"",:,"",:,,:,76
353,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",1,"",25
354,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",2,"",108
355,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",3,"",83
356,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",4,"",100
357,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",5,"",124
358,201801,S92000003,S08000020,Type 1,18-24,"",Female,"",,:,1
359,201801,S92000003,S08000020,Type 1,18-24,"",Male,"",1,"",30
360,201801,S92000003,S08000020,Type 1,18-24,"",Male,"",2,"",91
361,201801,S92000003,S08000020,Type 1,18-24,"",Male,"",3,"",91
362,201801,S92000003,S08000020,Type 1,18-24,"",Male,"",4,"",112
363,201801,S92000003,S08000020,Type 1,18-24,"",Male,"",5,"",116
364,201801,S92000003,S08000020,Type 1,25-39,"",Female,"",1,"",83
365,201801,S92000003,S08000020,Type 1,25-39,"",Female,"",2,"",172
366,201801,S92000003,S08000020,Type 1,25-39,"",Female,"",3,"",126
367,201801,S92000003,S08000020,Type 1,25-39,"",Female,"",4,"",147
368,201801,S92000003,S08000020,Type 1,25-39,"",Female,"",5,"",175
